;No;;;Tanggal;;;PM10;;;SO2;;;CO;;;O3;;;NO2;;;Output;;
183;;;07/02/2014;;;18,55;;;24,16;;;0,07;;;38,85;;;9,87;;;;B;;
184;;;07/03/2014;;;42,95;;;24,75;;;0,05;;;43,72;;;10,37;;;;B;;
185;;;07/04/2014;;;18,46;;;24,78;;;0,09;;;32,39;;;9,46;;;;B;;
186;;;07/05/2014;;;34,3;;;25,53;;;0,15;;;39,94;;;11,26;;;;B;;
187;;;07/06/2014;;;39,09;;;28,56;;;0,12;;;36,09;;;10,72;;;;S;;
188;;;07/07/2014;;;23,57;;;24,86;;;0,12;;;37,45;;;10,3;;;;B;;
189;;;07/08/2014;;;21,17;;;26,2;;;0,07;;;36,4;;;10,84;;;;B;;
190;;;07/09/2014;;;21,86;;;42,11;;;0,15;;;32,61;;;9,79;;;;B;;
191;;;07/10/2014;;;21,45;;;35,72;;;0,13;;;27,58;;;9,56;;;;B;;
192;;;07/11/2014;;;49,88;;;---;;;0,44;;;25,12;;;8,71;;;;B;;
193;;;07/12/2014;;;16,27;;;---;;;0,13;;;26,51;;;7,98;;;;B;;
194;;;13/07/2014;;;31,09;;;---;;;0,17;;;34,4;;;8,19;;;;B;;
195;;;14/07/2014;;;37,34;;;---;;;0,23;;;32,19;;;10,4;;;;B;;
196;;;15/07/2014;;;41,99;;;---;;;0,23;;;39,49;;;8,33;;;;B;;
197;;;16/07/2014;;;47,76;;;---;;;0,26;;;34,39;;;11,64;;;;S;;
198;;;17/07/2014;;;42,3;;;---;;;0,4;;;49,36;;;14,13;;;;B;;
199;;;18/07/2014;;;45,63;;;---;;;0,25;;;34,94;;;9,57;;;;S;;
200;;;19/07/2014;;;65,45;;;---;;;0,53;;;41,08;;;6,29;;;;S;;
201;;;20/07/2014;;;31,86;;;---;;;0,02;;;32,27;;;9,8;;;;S;;
202;;;21/07/2014;;;39,95;;;30,79;;;0,26;;;52,59;;;10,48;;;;S;;
203;;;22/07/2014;;;46,12;;;32,22;;;0,11;;;46,01;;;10,8;;;;S;;
204;;;23/07/2014;;;61,01;;;32,82;;;0,5;;;52,68;;;12,2;;;;S;;
205;;;24/07/2014;;;60,14;;;34,94;;;0,28;;;53,94;;;12,94;;;;S;;
206;;;25/07/2014;;;106,87;;;39,99;;;1,04;;;64,47;;;9,19;;;;S;;
207;;;26/07/2014;;;100,27;;;40,07;;;0,75;;;62,95;;;10,1;;;;S;;
208;;;27/07/2014;;;103,8;;;41,48;;;0,65;;;73,25;;;10,34;;;;S;;
209;;;28/07/2014;;;---;;;37,67;;;0,1;;;46,67;;;10,52;;;;B;;
210;;;29/07/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
